Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;-0.00995;0;-0.49725
Auto-str-ges-bes;0.1;-0.01989;-0.09945;1.49175
N.Gautschi,T.Senti;0.2;0.00995;0.29835;0
9;0.3;0;-0.09945;-0.9945
m|m/s|m/s^2;0.4;0.00995;0.09945;0.9945
notused;0.5;0.01989;0.09945;0.49725
notused;0.6;0.03978;0.1989;-0.49725
Masse =760.75g|Gegengewicht = 140g|Winkel = 10 Grad;0.7;0.03978;0;0
;0.8;0.05967;0.1989;0.49725
;0.9;0.06961;0.09945;-0.49725
;1;0.07956;0.09945;0.49725
;1.1;0.09945;0.1989;0.49725
;1.2;0.11934;0.1989;0
;1.3;0.13923;0.1989;-0.49725
;1.4;0.14918;0.09945;-0.49725
;1.5;0.15912;0.09945;0.49725
;1.6;0.17901;0.1989;0.9945
;1.7;0.20885;0.29835;0
;1.8;0.22873;0.1989;0
;1.9;0.25857;0.29835;0
;2;0.27846;0.1989;0
;2.1;0.3083;0.29835;0.49725
;2.2;0.33813;0.29835;-0.49725
;2.3;0.35802;0.1989;0
;2.4;0.38786;0.29835;0.49725
;2.5;0.41769;0.29835;0
;2.6;0.44753;0.29835;0
;2.7;0.47736;0.29835;0.49725
;2.8;0.51714;0.3978;0
;2.9;0.54698;0.29835;-0.49725
;3;0.57681;0.29835;0
;3.1;0.60664;0.29835;0.49725
;3.2;0.64643;0.3978;0.49725
;3.3;0.68621;0.3978;-0.49725
;3.4;0.71604;0.29835;-0.49725
;3.5;0.74588;0.29835;0.49725
;3.6;0.78565;0.3978;0.49725
