META;X;Y1 [s]
22.12.2010;0;0.018
Auto - Strecke;0.1;0.028
C. Gruber, A. Zwahlen;0.2;0.048
3.1;0.3;0.078
m;0.4;0.097
not used;0.5;0.117
not used;0.6;0.147
Masse = 255g|Gegengewicht = 35g|Winkel = 5;0.7;0.177
;0.8;0.207
;0.9;0.266
;1;0.296
;1.1;0.346
;1.2;0.395
;1.3;0.455
;1.4;0.514
;1.5;0.574
;1.6;0.643
