META;X;Y1 [s]
29.12.2010;0;0.008
Auto - Strecke;0.1;0.018
C. Gruber, A. Zwahlen;0.2;0.028
1.1;0.3;0.038
m;0.4;0.058
not used;0.5;0.078
not used;0.6;0.097
Masse 1 = 255g|Gegengewicht = 30g|Winkel = 5;0.7;0.107
;0.8;0.127
;0.9;0.147
;1;0.177
;1.1;0.207
;1.2;0.236
;1.3;0.256
;1.4;0.296
;1.5;0.326
;1.6;0.365
;1.7;0.405
;1.8;0.445
;1.9;0.494
;2;0.534
;2.1;0.584
;2.2;0.623
;2.3;0.673
