META;X;Y
20.12.2010;0;0
Auto - Geschwindigkeit;0.1;0.099
C. Gruber, A. Zwahlen;0.2;0.099
2.2;0.3;0.099
m/s;0.4;0.198
not used;0.5;0.099
not used;0.6;0.199
Masse 1 = 505g|Gegengewicht = 59g|Winkel = 5;0.7;0.198
;0.8;0.198
;0.9;0.199
;1;0.198
;1.1;0.199
;1.2;0.298
;1.3;0.397
;1.4;0.298
;1.5;0.397
;1.6;0.298
;1.7;0.397
;1.8;0.397
;1.9;0.397
;2;0.496
;2.1;0.397
;2.2;0.496
;2.3;0.496
