META;X;Y1 [s]
22.12.2010;0;0.018
Auto - Strecke;0.1;0.038
C. Gruber, A. Zwahlen;0.2;0.058
4.1;0.3;0.078
m;0.4;0.097
not used;0.5;0.127
not used;0.6;0.157
Masse = 505g|Gegengewicht = 70g|Winkel = 5;0.7;0.187
;0.8;0.236
;0.9;0.276
;1;0.316
;1.1;0.375
;1.2;0.425
;1.3;0.485
;1.4;0.544
;1.5;0.604
;1.6;0.683
