META;X;Y
20.12.2010;0;0.496
Auto - Beschleunigung;0.1;0.496
C. Gruber, A. Zwahlen;0.2;0
2.3;0.3;0.496
m/s^2;0.4;0
not used;0.5;0
not used;0.6;0.496
Masse 1 = 505g|Gegengewicht = 59g|Winkel = 5;0.7;0
;0.8;0
;0.9;0
;1;0
;1.1;0.496
;1.2;0.992
;1.3;0
;1.4;0
;1.5;0
;1.6;0
;1.7;0.496
;1.8;0
;1.9;0.496
;2;0
;2.1;0
;2.2;0.496
;2.3;0
