META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
22.12.2010;0;0.018;0;0.993
Auto - strecke-ges-bes;0.1;0.038;0.199;0.992
C. Gruber, A. Zwahlen;0.2;0.058;0.198;0
4;0.3;0.078;0.198;0
m|m/s|m/s^2;0.4;0.097;0.199;0.496
not used;0.5;0.127;0.298;0.496
not used;0.6;0.157;0.298;0
Masse = 505g|Gegengewicht = 70g|Winkel = 5;0.7;0.187;0.298;0.992
;0.8;0.236;0.496;0.496
;0.9;0.276;0.397;-0.496
;1;0.316;0.397;0.992
;1.1;0.375;0.595;0.496
;1.2;0.425;0.496;0
;1.3;0.485;0.595;0.496
;1.4;0.544;0.595;0
;1.5;0.604;0.595;0.993
;1.6;0.683;0.794;0.993
