META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
29.12.2010;0;0.008;0;0.496
Auto - Strecke-Ges-Bes;0.1;0.018;0.099;0.496
C. Gruber, A. Zwahlen;0.2;0.028;0.099;0
2;0.3;0.038;0.099;0.496
m|m/s|m/s^2;0.4;0.058;0.198;0
not used;0.5;0.068;0.099;0
not used;0.6;0.088;0.199;0.496
Masse 1 = 505g|Gegengewicht = 59g|Winkel = 5;0.7;0.107;0.198;0
;0.8;0.127;0.198;0
;0.9;0.147;0.199;0
;1;0.167;0.198;0
;1.1;0.187;0.199;0.496
;1.2;0.217;0.298;0.992
;1.3;0.256;0.397;0
;1.4;0.286;0.298;0
;1.5;0.326;0.397;0
;1.6;0.356;0.298;0
;1.7;0.395;0.397;0.496
;1.8;0.435;0.397;0
;1.9;0.475;0.397;0.496
;2;0.524;0.496;0
;2.1;0.564;0.397;0
;2.2;0.614;0.496;0.496
;2.3;0.663;0.496;0
