META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
22.12.2010;0;0.008;0;0
Auto - strecke-ges-bes;0.1;0.008;0;0.496
C. Gruber, A. Zwahlen;0.2;0.018;0.099;0.496
5;0.3;0.028;0.099;0
m|m/s|m/s^2;0.4;0.038;0.099;0.496
not used;0.5;0.058;0.198;0
not used;0.6;0.068;0.099;0
Masse = 255g|Gegengewicht = 116g|Winkel = 25;0.7;0.087;0.199;0
;0.8;0.097;0.099;0
;0.9;0.117;0.198;0
;1;0.127;0.099;0.496
;1.1;0.157;0.298;0
;1.2;0.167;0.099;0
;1.3;0.197;0.298;0.496
;1.4;0.216;0.198;0
;1.5;0.246;0.298;0.496
;1.6;0.276;0.298;0
;1.7;0.306;0.298;0
;1.8;0.336;0.298;0
;1.9;0.365;0.298;0
;2;0.395;0.298;0.496
;2.1;0.435;0.397;0.496
;2.2;0.475;0.397;-0.496
;2.3;0.504;0.298;0
;2.4;0.544;0.397;0.496
;2.5;0.584;0.397;0
;2.6;0.623;0.397;0.496
;2.7;0.673;0.496;0.496
