META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
22.12.2010;0;0.008;0;0.496
Auto - strecke-ges-bes;0.1;0.018;0.099;0.496
C. Gruber, A. Zwahlen;0.2;0.028;0.099;0
7;0.3;0.038;0.099;0.496
m|m/s|m/s^2;0.4;0.058;0.198;0.496
not used;0.5;0.078;0.198;0.496
not used;0.6;0.107;0.298;0
Masse = 255g|Gegengewicht = 121g|Winkel = 25;0.7;0.127;0.199;0.496
;0.8;0.167;0.397;0
;0.9;0.187;0.198;0
;1;0.227;0.397;0.993
;1.1;0.266;0.397;0
;1.2;0.306;0.397;0.496
;1.3;0.356;0.496;0
;1.4;0.395;0.397;0
;1.5;0.445;0.496;0.496
;1.6;0.495;0.496;0.496
;1.7;0.554;0.595;0.496
;1.8;0.614;0.595;0
;1.9;0.673;0.596;0
