META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
18.12.2010;0;0.008;0;0.993
Auto - strecke-ges-bes;0.1;0.028;0.199;0.496
C. Gruber, A. Zwahlen;0.2;0.038;0.099;0
8;0.3;0.058;0.198;0.496
m|m/s|m/s^2;0.4;0.078;0.199;0
not used;0.5;0.097;0.198;0
not used;0.6;0.117;0.198;0
Masse = 505g|Gegengewicht = 239g|Winkel = 25;0.7;0.137;0.198;0.496
;0.8;0.167;0.298;0.992
;0.9;0.207;0.397;0
;1;0.236;0.298;-0.496
;1.1;0.266;0.298;0.993
;1.2;0.316;0.496;0.496
;1.3;0.355;0.397;-0.496
;1.4;0.395;0.397;0.496
;1.5;0.445;0.496;0.496
;1.6;0.494;0.496;0
;1.7;0.544;0.496;0
;1.8;0.594;0.496;0.496
;1.9;0.653;0.596;0.496
