META;X;Y
21.12.2010;0;0.008
Auto - Strecke;0.1;0.028
C. Gruber, A. Zwahlen;0.2;0.038
8.1;0.3;0.058
m;0.4;0.078
not used;0.5;0.097
not used;0.6;0.117
Masse = 505g|Gegengewicht = 239g|Winkel = 25;0.7;0.137
;0.8;0.167
;0.9;0.207
;1;0.236
;1.1;0.266
;1.2;0.316
;1.3;0.355
;1.4;0.395
;1.5;0.445
;1.6;0.494
;1.7;0.544
;1.8;0.594
;1.9;0.653
