META;X;Y
21.12.2010;0;0
Auto - Geschwindigkeit;0.1;0.199
C. Gruber, A. Zwahlen;0.2;0.099
8.2;0.3;0.198
m/s;0.4;0.199
not used;0.5;0.198
not used;0.6;0.198
Masse = 505g|Gegengewicht = 239g|Winkel = 25;0.7;0.198
;0.8;0.298
;0.9;0.397
;1;0.298
;1.1;0.298
;1.2;0.496
;1.3;0.397
;1.4;0.397
;1.5;0.496
;1.6;0.496
;1.7;0.496
;1.8;0.496
;1.9;0.596
