META;X;Y1 [s]
22.12.2010;0;0.008
Auto -Strecke;0.1;0.008
C. Gruber, A. Zwahlen;0.2;0.018
5.1;0.3;0.028
m;0.4;0.038
not used;0.5;0.058
not used;0.6;0.068
Masse = 255g|Gegengewicht = 116g|Winkel = 25;0.7;0.087
;0.8;0.097
;0.9;0.117
;1;0.127
;1.1;0.157
;1.2;0.167
;1.3;0.197
;1.4;0.216
;1.5;0.246
;1.6;0.276
;1.7;0.306
;1.8;0.336
;1.9;0.365
;2;0.395
;2.1;0.435
;2.2;0.475
;2.3;0.504
;2.4;0.544
;2.5;0.584
;2.6;0.623
;2.7;0.673
