META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
29.12.2010;0;-0.002;0;0.496
Auto - strecke-ges-bes;0.1;0.008;0.099;0.496
C. Gruber, A. Zwahlen;0.2;0.018;0.099;0
6;0.3;0.028;0.099;0
m|m/s|m/s^2;0.4;0.038;0.099;0
not used;0.5;0.048;0.099;0.496
not used;0.6;0.068;0.198;0
Masse = 505g|Gegengewicht = 229g|Winkel = 25;0.7;0.078;0.099;0
;0.8;0.097;0.198;0
;0.9;0.107;0.099;0
;1;0.127;0.199;0.496
;1.1;0.147;0.198;0
;1.2;0.167;0.199;0
;1.3;0.187;0.198;0
;1.4;0.207;0.199;0.496
;1.5;0.236;0.298;0
;1.6;0.256;0.198;0
;1.7;0.286;0.298;0.496
;1.8;0.316;0.298;0
;1.9;0.346;0.298;0.496
;2;0.385;0.397;0
;2.1;0.415;0.298;-0.496
;2.2;0.445;0.298;0.496
;2.3;0.484;0.397;0.496
;2.4;0.524;0.397;0
;2.5;0.564;0.397;0
;2.6;0.604;0.397;0
;2.7;0.643;0.397;0
