META;X;Y1 [s]
29.12.2010;0;-0.002
Auto - Strecke;0.1;0.008
C. Gruber, A. Zwahlen;0.2;0.018
6.1;0.3;0.028
m;0.4;0.038
not used;0.5;0.048
not used;0.6;0.068
Masse = 505g|Gegengewicht = 229g|Winkel = 25;0.7;0.078
;0.8;0.097
;0.9;0.107
;1;0.127
;1.1;0.147
;1.2;0.167
;1.3;0.187
;1.4;0.207
;1.5;0.236
;1.6;0.256
;1.7;0.286
;1.8;0.316
;1.9;0.346
;2;0.385
;2.1;0.415
;2.2;0.445
;2.3;0.484
;2.4;0.524
;2.5;0.564
;2.6;0.604
;2.7;0.643
