META;X;Y
21.12.2010;0;0.993
Auto - Beschleunigung;0.1;0.496
C. Gruber, A. Zwahlen;0.2;0
8.3;0.3;0.496
m/s^2;0.4;0
not used;0.5;0
not used;0.6;0
Masse = 505g|Gegengewicht = 239g|Winkel = 25;0.7;0.496
;0.8;0.992
;0.9;0
;1;-0.496
;1.1;0.993
;1.2;0.496
;1.3;-0.496
;1.4;0.496
;1.5;0.496
;1.6;0
;1.7;0
;1.8;0.496
;1.9;0.496
