Meta;Zeit [s];Strecke [m]
22.12.2010;0;-0.00995
Auto-Strecke;0.1;-0.00995
N.Gautschi,T.Senti;0.2;-0.00995
1.1;0.3;0.00995
m;0.4;-0.00995
notused;0.5;-0.00995
notused;0.6;0.00995
Masse = 256g|Gegengewicht = 23.5g|Winkel = 5 Grad;0.7;-0.00995
;0.8;0.00995
;0.9;0
;1;0.00995
;1.1;0
;1.2;0.01989
;1.3;0
;1.4;0.01989
;1.5;0.00995
;1.6;0.01989
;1.7;0.01989
;1.8;0.01989
;1.9;0.02984
;2;0.01989
;2.1;0.02984
;2.2;0.03978
;2.3;0.04972
;2.4;0.04972
;2.5;0.04972
;2.6;0.05967
;2.7;0.05967
;2.8;0.06961
;2.9;0.06961
;3;0.06961
;3.1;0.07956
;3.2;0.07956
;3.3;0.08951
;3.4;0.08951
;3.5;0.08951
;3.6;0.09945
;3.7;0.09945
;3.8;0.1094
;3.9;0.1094
;4;0.11934
;4.1;0.12929
;4.2;0.12929
;4.3;0.13923
;4.4;0.13923
;4.5;0.14918
;4.6;0.15912
;4.7;0.16907
;4.8;0.16907
;4.9;0.17901
;5;0.17901
;5.1;0.1989
;5.2;0.18896
;5.3;0.20885
;5.4;0.20885
;5.5;0.20885
;5.6;0.22873
;5.7;0.22873
;5.8;0.21879
;5.9;0.24863
;6;0.24863
;6.1;0.24863
;6.2;0.26852
;6.3;0.27846
;6.4;0.28841
;6.5;0.28841
;6.6;0.28841
;6.7;0.3083
;6.8;0.31824
;6.9;0.31824
;7;0.32819
;7.1;0.33813
;7.2;0.34808
;7.3;0.34808
;7.4;0.35802
;7.5;0.35802
;7.6;0.37791
;7.7;0.37791
;7.8;0.38786
;7.9;0.3978
;8;0.40775
;8.1;0.40775
;8.2;0.41769
;8.3;0.42763
;8.4;0.43758
;8.5;0.44753
;8.6;0.44753
;8.7;0.45747
;8.8;0.46742
;8.9;0.47736
;9;0.4873
;9.1;0.49725
;9.2;0.49725
;9.3;0.5072
;9.4;0.51714
;9.5;0.52709
;9.6;0.53703
;9.7;0.53703
;9.8;0.54698
;9.9;0.55692
;10;0.56687
;10.1;0.56687
;10.2;0.57681
;10.3;0.58676
;10.4;0.5967
;10.5;0.60664
;10.6;0.61659
;10.7;0.62654
;10.8;0.62654
;10.9;0.63648
;11;0.64643
;11.1;0.65637
;11.2;0.66631
;11.3;0.66631
;11.4;0.67626
;11.5;0.68621
;11.6;0.69615
;11.7;0.69615
;11.8;0.70609
;11.9;0.71604
;12;0.71604
;12.1;0.73593
;12.2;0.73593
;12.3;0.74588
;12.4;0.75582
;12.5;0.75582
;12.6;0.76577
;12.7;0.76577
;12.8;0.77571
;12.9;0.78565
;13;0.7956
;13.1;0.7956
;13.2;0.7956
;13.3;0.80555
;13.4;0.80555
;13.5;0.7956
;13.6;2.31719
