Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0;0;0.9945
Auto-str-ges-bes;0.1;0.01989;0.1989;-0.49725
N.Gautschi,T.Senti;0.2;0.00995;-0.09945;0.49725
5;0.3;0.03978;0.29835;0
m|m/s|m/s^2;0.4;0.02984;-0.09945;-0.9945
notused;0.5;0.03978;0.09945;0.9945
notused;0.6;0.04972;0.09945;0
Masse = 760.75g|Gegengewicht = 74g|Winkel = 5 Grad;0.7;0.05967;0.09945;-0.49725
;0.8;0.05967;0;0.49725
;0.9;0.07956;0.1989;0.49725
;1;0.08951;0.09945;-0.49725
;1.1;0.09945;0.09945;0
;1.2;0.1094;0.09945;0.49725
;1.3;0.12929;0.1989;0
;1.4;0.13923;0.09945;0
;1.5;0.15912;0.1989;0
;1.6;0.16907;0.09945;0.49725
;1.7;0.1989;0.29835;0.49725
;1.8;0.21879;0.1989;-0.49725
;1.9;0.23868;0.1989;-1.49175
;2;0.22873;-0.09945;0
;2.1;0.24863;0.1989;1.989
;2.2;0.27846;0.29835;0.49725
;2.3;0.3083;0.29835;-0.49725
;2.4;0.32819;0.1989;-0.49725
;2.5;0.34808;0.1989;0
;2.6;0.36797;0.1989;0
;2.7;0.38786;0.1989;0
;2.8;0.40775;0.1989;0.49725
;2.9;0.43758;0.29835;0
;3;0.45747;0.1989;-0.49725
;3.1;0.47736;0.1989;0.49725
;3.2;0.5072;0.29835;0.49725
;3.3;0.53703;0.29835;0
;3.4;0.56687;0.29835;-0.49725
;3.5;0.58676;0.1989;0
;3.6;0.61659;0.29835;0.49725
;3.7;0.64643;0.29835;0
;3.8;0.67626;0.29835;0
;3.9;0.70609;0.29835;0
;4;0.73593;0.29835;0
;4.1;0.76577;0.29835;0.49725
;4.2;0.80555;0.3978;0.49725
