Meta;Zeit [s];Strecke [m]
22.12.2010;0;0
Auto-Strecke;0.1;-0.00995
N.Gautschi,T.Senti;0.2;0.00995
4.1;0.3;-0.00995
m;0.4;-0.00995
notused;0.5;0
notused;0.6;0.00995
Masse = 508.31g|Gegengewicht = 47g|Winkel = 5 Grad;0.7;0.01989
;0.8;0.01989
;0.9;0.01989
;1;0.01989
;1.1;0.01989
;1.2;0.03978
;1.3;0.04972
;1.4;0.04972
;1.5;0.05967
;1.6;0.05967
;1.7;0.06961
;1.8;0.06961
;1.9;0.07956
;2;0.08951
;2.1;0.09945
;2.2;0.1094
;2.3;0.11934
;2.4;0.12929
;2.5;0.12929
;2.6;0.13923
;2.7;0.14918
;2.8;0.16907
;2.9;0.16907
;3;0.18896
;3.1;0.18896
;3.2;0.20885
;3.3;0.20885
;3.4;0.22873
;3.5;0.24863
;3.6;0.24863
;3.7;0.25857
;3.8;0.26852
;3.9;0.28841
;4;0.29835
;4.1;0.3083
;4.2;0.32819
;4.3;0.34808
;4.4;0.35802
;4.5;0.36797
;4.6;0.38786
;4.7;0.3978
;4.8;0.40775
;4.9;0.42763
;5;0.43758
;5.1;0.45747
;5.2;0.46742
;5.3;0.47736
;5.4;0.49725
;5.5;0.5072
;5.6;0.52709
;5.7;0.54698
;5.8;0.55692
;5.9;0.57681
;6;0.58676
;6.1;0.60664
;6.2;0.62654
;6.3;0.63648
;6.4;0.65637
;6.5;0.66631
;6.6;0.68621
;6.7;0.70609
;6.8;0.72598
;6.9;0.74588
;7;0.75582
;7.1;0.77571
;7.2;0.78565
;7.3;0.7956
;7.4;0.7956
;7.5;0.7956
