Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;-0.00995;0;0
Auto-str-ges-bes;0.1;-0.00995;0;0
N.Gautschi,T.Senti;0.2;-0.00995;0;0.9945
1;0.3;0.00995;0.1989;-0.9945
m|m/s|m/s^2;0.4;-0.00995;-0.1989;-0.9945
notused;0.5;-0.00995;0;1.989
notused;0.6;0.00995;0.1989;-0.9945
Masse = 256g|Gegengewicht = 23.5g|Winkel = 5 Grad;0.7;-0.00995;-0.1989;0
;0.8;0.00995;0.1989;0.49725
;0.9;0;-0.09945;-0.49725
;1;0.00995;0.09945;0
;1.1;0;-0.09945;0.49725
;1.2;0.01989;0.1989;-0.49725
;1.3;0;-0.1989;0
;1.4;0.01989;0.1989;0.49725
;1.5;0.00995;-0.09945;-0.49725
;1.6;0.01989;0.09945;0.49725
;1.7;0.01989;0;-0.49725
;1.8;0.01989;0;0.49725
;1.9;0.02984;0.09945;-0.49725
;2;0.01989;-0.09945;0
;2.1;0.02984;0.09945;0.9945
;2.2;0.03978;0.09945;0
;2.3;0.04972;0.09945;-0.49725
;2.4;0.04972;0;-0.49725
;2.5;0.04972;0;0.49725
;2.6;0.05967;0.09945;0
;2.7;0.05967;0;0
;2.8;0.06961;0.09945;0
;2.9;0.06961;0;-0.49725
;3;0.06961;0;0.49725
;3.1;0.07956;0.09945;0
;3.2;0.07956;0;0
;3.3;0.08951;0.09945;0
;3.4;0.08951;0;-0.49725
;3.5;0.08951;0;0.49725
;3.6;0.09945;0.09945;0
;3.7;0.09945;0;0
;3.8;0.1094;0.09945;0
;3.9;0.1094;0;0
;4;0.11934;0.09945;0.49725
;4.1;0.12929;0.09945;-0.49725
;4.2;0.12929;0;0
;4.3;0.13923;0.09945;0
;4.4;0.13923;0;0
;4.5;0.14918;0.09945;0.49725
;4.6;0.15912;0.09945;0
;4.7;0.16907;0.09945;-0.49725
;4.8;0.16907;0;0
;4.9;0.17901;0.09945;0
;5;0.17901;0;0.49725
;5.1;0.1989;0.1989;-0.49725
;5.2;0.18896;-0.09945;0
;5.3;0.20885;0.1989;0.49725
;5.4;0.20885;0;-0.9945
;5.5;0.20885;0;0.9945
;5.6;0.22873;0.1989;0
;5.7;0.22873;0;-1.49175
;5.8;0.21879;-0.09945;1.49175
;5.9;0.24863;0.29835;0.49725
;6;0.24863;0;-1.49175
;6.1;0.24863;0;0.9945
;6.2;0.26852;0.1989;0.49725
;6.3;0.27846;0.09945;-0.49725
;6.4;0.28841;0.09945;-0.49725
;6.5;0.28841;0;-0.49725
;6.6;0.28841;0;0.9945
;6.7;0.3083;0.1989;0.49725
;6.8;0.31824;0.09945;-0.9945
;6.9;0.31824;0;0
;7;0.32819;0.09945;0.49725
;7.1;0.33813;0.09945;0
;7.2;0.34808;0.09945;-0.49725
;7.3;0.34808;0;0
;7.4;0.35802;0.09945;0
;7.5;0.35802;0;0.49725
;7.6;0.37791;0.1989;0
;7.7;0.37791;0;-0.49725
;7.8;0.38786;0.09945;0.49725
;7.9;0.3978;0.09945;0
;8;0.40775;0.09945;-0.49725
;8.1;0.40775;0;0
;8.2;0.41769;0.09945;0.49725
;8.3;0.42763;0.09945;0
;8.4;0.43758;0.09945;0
;8.5;0.44753;0.09945;-0.49725
;8.6;0.44753;0;0
;8.7;0.45747;0.09945;0.49725
;8.8;0.46742;0.09945;0
;8.9;0.47736;0.09945;0
;9;0.4873;0.09945;0
;9.1;0.49725;0.09945;-0.49725
;9.2;0.49725;0;0
;9.3;0.5072;0.09945;0.49725
;9.4;0.51714;0.09945;0
;9.5;0.52709;0.09945;0
;9.6;0.53703;0.09945;-0.49725
;9.7;0.53703;0;0
;9.8;0.54698;0.09945;0.49725
;9.9;0.55692;0.09945;0
;10;0.56687;0.09945;-0.49725
;10.1;0.56687;0;0
;10.2;0.57681;0.09945;0.49725
;10.3;0.58676;0.09945;0
;10.4;0.5967;0.09945;0
;10.5;0.60664;0.09945;0
;10.6;0.61659;0.09945;0
;10.7;0.62654;0.09945;-0.49725
;10.8;0.62654;0;0
;10.9;0.63648;0.09945;0.49725
;11;0.64643;0.09945;0
;11.1;0.65637;0.09945;0
;11.2;0.66631;0.09945;-0.49725
;11.3;0.66631;0;0
;11.4;0.67626;0.09945;0.49725
;11.5;0.68621;0.09945;0
;11.6;0.69615;0.09945;-0.49725
;11.7;0.69615;0;0
;11.8;0.70609;0.09945;0.49725
;11.9;0.71604;0.09945;-0.49725
;12;0.71604;0;0.49725
;12.1;0.73593;0.1989;0
;12.2;0.73593;0;-0.49725
;12.3;0.74588;0.09945;0.49725
;12.4;0.75582;0.09945;-0.49725
;12.5;0.75582;0;0
;12.6;0.76577;0.09945;0
;12.7;0.76577;0;0
;12.8;0.77571;0.09945;0.49725
;12.9;0.78565;0.09945;0
;13;0.7956;0.09945;-0.49725
;13.1;0.7956;0;-0.49725
;13.2;0.7956;0;0.49725
;13.3;0.80555;0.09945;0
;13.4;0.80555;0;-0.9945
;13.5;0.7956;-0.09945;76.07925
;13.6;2.31719;15.21585;76.5765
