Meta;Zeit [s];Strecke [m]
22.12.2010;0;0
Auto-Strecke;0.1;0.01
N.Gautschi,T.Senti;0.2;0.03
12.1;0.3;0.04
m;0.4;0.04
notused;0.5;0.05
notused;0.6;0.06
Masse = 760.75g|Gegengewicht = 272 g|Winkel = 20 Grad;0.7;0.07
;0.8;0.1
;0.9;0.1
;1;0.12
;1.1;0.14
;1.2;0.15
;1.3;0.18
;1.4;0.2
;1.5;0.21
;1.6;0.25
;1.7;0.25
;1.8;0.29
;1.9;0.32
;2;0.34
;2.1;0.37
;2.2;0.4
;2.3;0.43
;2.4;0.47
;2.5;0.49
;2.6;0.53
;2.7;0.56
;2.8;0.59
;2.9;0.63
;3;0.67
;3.1;0.71
;3.2;0.75
;3.3;0.79
